	ATA_1	ATA_2	ATA_3	HC_IgG_1	HC_IgG_2	HC_IgG_3	IFNa_1	IFNa_2	IFNa_3
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	55	104	130	58	72	43	81	123	55
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	8	3	20	4	0	6	0	2	0
ENSG00000239945	0	0	0	0	0	0	0	2	0
ENSG00000233750	0	0	0	0	0	0	0	0	0
ENSG00000237683	10	0	0	16	3	0	0	1	0
ENSG00000268903	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	23	14	22	5	18	8	10	16	30
ENSG00000222623	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	0	0	11	0	16	1	0
ENSG00000286448	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	6	0	2	8	2	11	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	0	2	0	0	0	0	0	2	6
ENSG00000225630	98	66	92	76	68	44	88	46	52
ENSG00000237973	5770	5591	3465	3826	4284	4563	5157	3637	5506
ENSG00000229344	86	68	32	84	84	34	60	64	68
ENSG00000240409	0	0	0	0	0	0	0	0	0
ENSG00000248527	512	502	272	345	458	192	496	204	316
ENSG00000198744	0	0	0	6	2	0	2	0	4
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0
ENSG00000228327	131	64	84	69	86	69	103	76	215
ENSG00000235373	1	0	23	0	10	8	10	3	28
ENSG00000223181	0	0	0	0	0	0	2	6	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000237491	52	37	18	42	21	39	52	40	28
ENSG00000285268	0	0	0	0	0	0	11	2	0
ENSG00000230092	65	44	51	45	31	46	34	23	60
ENSG00000177757	11	0	0	0	0	0	0	0	0
ENSG00000228794	1032	1058	946	725	792	836	672	659	850
ENSG00000225880	19	62	70	42	15	10	20	25	42
ENSG00000288531	0	0	0	0	0	0	0	0	0
ENSG00000230368	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	2	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000272438	2	0	0	0	0	0	0	0	0
ENSG00000230699	12	18	17	2	38	22	6	4	4
ENSG00000241180	0	0	0	0	7	0	2	0	0
ENSG00000223764	80	46	74	60	68	62	52	63	58
ENSG00000187634	44	46	16	29	26	18	28	16	64
ENSG00000188976	3903	5635	5353	3323	3615	4538	3982	3828	4871
ENSG00000187961	228	284	199	192	180	205	191	286	356
ENSG00000187583	76	109	138	33	80	50	62	132	256
ENSG00000187642	0	0	0	2	0	12	0	0	2
ENSG00000272512	12	54	0	6	12	20	16	40	8
ENSG00000188290	370	494	278	150	262	264	338	250	256
ENSG00000187608	9520	11694	7833	3148	5317	5153	6369	5023	6605
ENSG00000231702	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0
ENSG00000188157	14871	17695	12137	10825	11712	13927	13388	12329	13129
ENSG00000242590	701	754	669	612	717	725	717	595	662
ENSG00000217801	28	60	94	46	49	5	26	48	22
ENSG00000273443	0	0	0	0	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0
ENSG00000131591	155	173	128	98	129	94	101	98	118
ENSG00000285812	0	0	0	0	0	0	0	0	0
ENSG00000223823	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	2
ENSG00000186891	0	0	2	0	0	0	0	0	0
ENSG00000186827	0	8	0	0	4	0	2	2	22
ENSG00000078808	5211	6627	5518	3823	4433	4993	4905	4861	5174
ENSG00000176022	1072	1401	1127	872	1033	1194	1105	1086	1327
ENSG00000184163	12	0	2	2	20	26	8	2	16
ENSG00000260179	12	0	0	6	14	6	6	0	10
ENSG00000160087	1168	1850	1728	898	1052	1134	1397	932	1347
ENSG00000230415	6	2	12	21	10	8	0	2	0
ENSG00000162572	60	105	52	36	24	64	51	28	73
ENSG00000131584	1378	1648	946	1096	1290	1489	1324	1185	1539
ENSG00000169972	314	475	543	244	371	385	332	296	486
ENSG00000127054	2391	3435	2822	1874	2132	2020	2493	2292	2615
ENSG00000240731	10	3	4	0	16	2	14	13	14
ENSG00000224051	552	700	638	476	454	676	632	492	632
ENSG00000169962	24	38	8	6	8	2	24	0	14
ENSG00000107404	639	1083	810	595	647	806	752	709	1027
ENSG00000162576	1	0	0	0	16	0	0	0	2
ENSG00000175756	548	504	496	308	432	428	540	574	583
ENSG00000223663	0	0	0	0	0	0	0	0	0
ENSG00000221978	5179	5445	4182	3821	4010	4351	5082	3912	4753
ENSG00000224870	144	266	184	194	154	168	186	119	212
ENSG00000242485	294	262	264	160	262	272	305	218	274
ENSG00000264293	7	20	0	8	23	2	10	15	4
ENSG00000272455	56	64	88	48	20	34	50	28	82
ENSG00000235098	28	6	8	26	14	70	42	18	258
ENSG00000225905	0	0	0	0	0	0	0	0	0
ENSG00000205116	18	20	38	12	22	22	16	18	26
ENSG00000225285	0	0	0	0	0	0	0	0	0
ENSG00000179403	108	234	92	100	86	116	128	108	114
ENSG00000215915	8	14	0	0	5	2	1	18	1
ENSG00000160072	885	1134	830	677	656	746	821	649	919
ENSG00000284740	0	0	0	4	6	4	0	2	24
ENSG00000197785	726	1174	939	399	583	624	599	643	1188
ENSG00000205090	35	54	57	26	24	36	34	24	68
ENSG00000160075	2572	3122	2812	1907	1842	2610	2799	1953	2408
ENSG00000215014	110	115	106	82	100	88	104	68	103
ENSG00000274481	0	0	0	0	0	0	0	0	0
ENSG00000228594	18	20	32	12	48	26	38	58	24
ENSG00000286989	4	0	0	0	12	0	18	12	0
ENSG00000272106	114	83	8	74	42	49	88	34	28
ENSG00000197530	721	921	716	493	669	568	740	551	799
ENSG00000189409	0	0	0	0	0	0	0	0	0
ENSG00000248333	366	269	403	268	306	304	300	345	476
ENSG00000272004	2	0	0	12	5	0	2	6	2
ENSG00000189339	1314	1368	1212	1313	1116	1327	1344	1126	1338
ENSG00000269737	0	0	0	0	0	0	0	0	0
ENSG00000215914	0	0	0	0	0	0	0	0	0
ENSG00000008128	348	505	369	319	289	345	354	331	404
ENSG00000268575	698	820	613	561	452	769	617	559	675
ENSG00000227775	6	6	4	8	15	0	12	8	14
ENSG00000215790	286	391	108	211	197	224	228	209	217
ENSG00000008130	4587	5931	4443	3472	4243	4499	4584	3701	5038
